Start of repitition 1: RAM Usage: 1048 MB
End of repitition 1: RAM Usage: 3044 MB
Start of repitition 2: RAM Usage: 1048 MB
End of repitition 2: RAM Usage: 5307 MB
Start of repitition 3: RAM Usage: 1048 MB
End of repitition 3: RAM Usage: 5524 MB
Start of repitition 4: RAM Usage: 1048 MB
End of repitition 4: RAM Usage: 5678 MB
Start of repitition 5: RAM Usage: 1048 MB
End of repitition 5: RAM Usage: 5906 MB
Start of repitition 6: RAM Usage: 1048 MB
End of repitition 6: RAM Usage: 6106 MB
Start of repitition 7: RAM Usage: 1048 MB
End of repitition 7: RAM Usage: 11036 MB
Start of repitition 8: RAM Usage: 1048 MB
End of repitition 8: RAM Usage: 11685 MB
Start of repitition 9: RAM Usage: 1048 MB
End of repitition 9: RAM Usage: 12334 MB
Start of repitition 10: RAM Usage: 1048 MB
End of repitition 10: RAM Usage: 12983 MB
Start of repitition 11: RAM Usage: 1048 MB
End of repitition 11: RAM Usage: 13632 MB
Start of repitition 12: RAM Usage: 1048 MB
End of repitition 12: RAM Usage: 14281 MB
Start of repitition 13: RAM Usage: 1048 MB
End of repitition 13: RAM Usage: 14930 MB
Start of repitition 14: RAM Usage: 1048 MB
End of repitition 14: RAM Usage: 15579 MB
Start of repitition 15: RAM Usage: 1048 MB
End of repitition 15: RAM Usage: 16228 MB
Start of repitition 16: RAM Usage: 1048 MB
End of repitition 16: RAM Usage: 16877 MB
Start of repitition 17: RAM Usage: 1048 MB
End of repitition 17: RAM Usage: 17526 MB
Start of repitition 18: RAM Usage: 1048 MB
End of repitition 18: RAM Usage: 18175 MB
Start of repitition 19: RAM Usage: 1048 MB
End of repitition 19: RAM Usage: 18824 MB
Start of repitition 20: RAM Usage: 1048 MB
End of repitition 20: RAM Usage: 19473 MB
Start of repitition 21: RAM Usage: 1048 MB
End of repitition 21: RAM Usage: 20122 MB
Start of repitition 22: RAM Usage: 1048 MB
End of repitition 22: RAM Usage: 20771 MB
Start of repitition 23: RAM Usage: 1048 MB
End of repitition 23: RAM Usage: 21420 MB
Start of repitition 24: RAM Usage: 1048 MB
End of repitition 24: RAM Usage: 22069 MB
Start of repitition 25: RAM Usage: 1048 MB
End of repitition 25: RAM Usage: 22718 MB
Start of repitition 26: RAM Usage: 1048 MB
End of repitition 26: RAM Usage: 23367 MB
Start of repitition 27: RAM Usage: 1048 MB
End of repitition 27: RAM Usage: 24016 MB
Start of repitition 28: RAM Usage: 1048 MB
End of repitition 28: RAM Usage: 24665 MB
Start of repitition 29: RAM Usage: 1048 MB
End of repitition 29: RAM Usage: 25314 MB
Start of repitition 30: RAM Usage: 1048 MB
End of repitition 30: RAM Usage: 25963 MB
Start of repitition 1: RAM Usage: 2096 MB
End of repitition 1: RAM Usage: 6317 MB
Start of repitition 2: RAM Usage: 2096 MB
End of repitition 2: RAM Usage: 11013 MB
Start of repitition 3: RAM Usage: 2096 MB
End of repitition 3: RAM Usage: 11402 MB
Start of repitition 4: RAM Usage: 2096 MB
End of repitition 4: RAM Usage: 11821 MB
Start of repitition 5: RAM Usage: 2096 MB
End of repitition 5: RAM Usage: 12191 MB
Start of repitition 6: RAM Usage: 2096 MB
End of repitition 6: RAM Usage: 12688 MB
Start of repitition 7: RAM Usage: 2096 MB
End of repitition 7: RAM Usage: 22840 MB
Start of repitition 8: RAM Usage: 2096 MB
End of repitition 8: RAM Usage: 24202 MB
Start of repitition 9: RAM Usage: 2096 MB
End of repitition 9: RAM Usage: 25564 MB
Start of repitition 10: RAM Usage: 2096 MB
End of repitition 10: RAM Usage: 26926 MB
Start of repitition 11: RAM Usage: 2096 MB
End of repitition 11: RAM Usage: 28288 MB
Start of repitition 12: RAM Usage: 2096 MB
End of repitition 12: RAM Usage: 29650 MB
Start of repitition 13: RAM Usage: 2096 MB
End of repitition 13: RAM Usage: 31012 MB
Start of repitition 14: RAM Usage: 2096 MB
End of repitition 14: RAM Usage: 32374 MB
Start of repitition 15: RAM Usage: 2096 MB
End of repitition 15: RAM Usage: 33736 MB
