Repetition,Execution_Time_File1_ms,Execution_Time_File2_ms
1,2893.105913,1441.356005
2,3098.106203,1892.5560500000001
3,3272.271542,2214.985156
4,3403.691787,2269.006
5,3979.7976350000004,2492.7206530000003
6,4168.866196,2661.294254
7,4456.515796,1552.098522
8,4432.162947,2766.651951
9,4956.527147,2911.803472
10,4802.732591,3050.911565
11,4774.110983,3199.7208650000002
12,5060.191596000001,3414.234441
13,4755.085524,3487.410276
14,5242.392207,3634.3772200000003
15,5492.889332,3808.449095
16,5645.030915,3911.913546
17,5790.098516999999,4058.123772
18,5983.507162000001,4236.2624399999995
19,6094.531768999999,4372.147749
20,6229.642732,4531.476332
21,6413.06652,4673.496814
22,6470.928736,4798.025269
23,6664.152953000001,4957.0284249999995
24,8399.307646000001,5127.740949999999
25,7077.137761,5223.595977
26,7047.2419549999995,5425.612022
27,7252.61637,5561.601917
28,7380.84777,5716.068480999999
29,7539.291809,5814.6156949999995
30,7650.786306999999,5958.903441
31,5500.880986,3397.334797
32,6074.544873,3630.385408
33,6575.345512,3998.8522089999997
34,7228.910476,4485.393732
35,7660.050649000001,4897.93094
36,8074.110672,5323.729228
37,8426.513425,5563.499282000001
38,8712.274532,5759.639596999999
39,9028.249657,6009.415362999999
40,9378.361149,6417.296065
41,9770.70926,6671.489463
42,9489.017651999999,7147.207426
43,9919.235442,7313.56552
44,10227.14442,8240.36999
45,10611.437779999998,7911.326838
46,10872.286869,8208.662177
47,11292.805,8547.23276
48,11615.277141,8914.963755
49,11929.627494,9110.599243999999
50,12203.090414,9650.09377
51,12507.108991000001,9748.774924
52,12887.766313,10095.672978
53,13179.023093,10406.124623
54,13473.283800000001,10715.320453
55,14966.694483,10981.897945
56,14560.626145,11412.459230999999
57,14830.332791,11482.617563
58,15102.172352,11900.995506
59,15447.423950999999,12230.704577999999
60,15635.481554,12536.998285
61,8376.225307,5098.659939
62,9277.155010999999,5402.985164999999
63,9984.670467,6189.914360000001
64,10155.013336,6887.918797
65,11079.548646,7634.704949999999
66,11674.255549,8196.870160999999
67,12161.717284,8672.710253
68,12468.749907,8876.879532
69,13101.26633,9350.807393000001
70,13448.235733000001,9825.397631
71,13921.296067,10356.612508
72,14475.799223999999,10727.448263999999
73,14850.409161,11320.027015000001
74,15445.352964,11763.574108
75,15888.44211,12300.537473
76,16348.023290000001,12712.626425
77,17486.321876,13217.97807
78,17363.852042000002,13645.968251999999
79,17913.59621,14215.955148000001
80,18354.846899,14708.441212
81,18942.909116,15148.859148
82,19412.287542000002,15669.659211
83,19858.72487,15949.207075
84,20352.041693,16455.664293
85,20818.153453,17113.558838
86,21427.006099,17513.715434
87,21940.9247,18010.848793
88,22589.523987,18543.285699999997
89,23004.424406,18890.986814
90,23391.693489,19407.310723
91,10708.428107,6863.001432
92,11678.831253,7482.259491
93,12283.710577000002,8203.444652
94,13224.754483,9152.544761
95,14227.885047,10045.761409
96,15250.451055,10855.34563
97,15840.297354,11474.857251
98,16165.729415000002,11818.735895
99,16847.937687,12514.514157000001
100,17552.79592,13131.788632
101,18205.357161,13861.995368
102,18886.695258,14420.144299
103,19537.511449,15137.987669
104,20093.451,15777.167938
105,20780.008065,16410.718836
106,21492.54814,17056.557335
107,22179.749348,17676.606615
108,22812.256713,18235.191587999998
109,23576.529555,18859.447685
