Repetition,Execution_Time_File1_ms,Execution_Time_File2_ms
1,19.96622,31.976858
2,18.646119,32.518149
3,17.247173,33.406892
4,18.093529,40.046851
5,18.940845,32.423699
6,19.645407,30.410993
7,18.628784,30.715916
8,19.547634,31.646524
9,19.152787,30.981468
10,18.384145,31.89932
11,18.67386,30.027058
12,19.485482,28.948094
13,19.61867,29.664664
14,19.305575,28.024862
15,19.21768,29.7274
16,20.011161,32.700865
17,18.600775,20.848331
18,18.380419,21.906913
19,19.477153,21.165135
20,18.316899,23.286451
21,18.467697,22.442597
22,20.185143,24.79785
23,19.159456,19.011741
24,18.868989,22.262901
25,18.710449,24.918583
26,18.718641,25.961897
27,19.552901,25.989258
28,18.601367,27.328304
29,18.519753,22.423616
30,19.162296,23.196371
31,568.880574,934.070671
32,562.137241,945.994965
33,545.885058,969.381417
34,591.246711,1087.811927
35,574.486091,885.235742
36,574.9396,912.905944
37,570.093495,927.113341
38,565.43653,845.486255
39,571.630581,889.039635
40,582.577292,907.689119
41,574.977458,883.183058
42,563.00797,882.065272
43,585.331964,936.430697
44,581.30267,919.394282
45,573.903745,955.438694
46,572.291701,908.656267
47,572.347429,855.635727
48,581.292919,933.197162
49,572.430391,937.115786
50,580.06032,987.851022
51,571.472803,899.997745
52,575.78227,845.833212
53,573.1914,864.256312
54,568.025717,893.324216
55,577.604421,876.527102
56,571.899775,864.351685
57,578.21011,848.617412
58,567.304993,861.189607
59,566.400494,629.97287
60,582.529967,664.463351
61,26953.287519,50528.952875999996
62,27253.638937000003,50710.328633000005
63,27911.853482000002,51411.124283
64,26967.82649,57450.718042
65,26965.738565,45630.049006999994
66,27890.591408,46116.616903999995
67,26966.626179,46031.16275
68,26924.019524,42908.798897
69,27911.731927,46483.093179
70,27952.049655,46092.496586
71,27006.860907,46784.435508999995
72,26920.255950000002,44870.213927000004
73,27071.630064,45578.046063
74,25963.802398,44454.107465
75,26931.296602,47336.395755
76,27887.888729,47418.538919
77,27004.586992,45137.493966
78,25974.535525,47424.3685
79,26868.027954999998,46953.236
80,26976.607012,46384.113285
81,26005.768543,44796.337686
82,26221.984542000002,45323.219099
83,26909.45992,46454.617163
84,27889.451923,45685.514812999994
85,27981.254396,41166.151157
86,27930.117588,42553.386676
87,27918.126662,43361.731809
88,27069.362136,44757.303131
89,26017.438461,26784.869464
90,26040.669227,26809.710085
