Start of repetition 4: RAM Usage: 7 MB
End of repetition 4: RAM Usage: 7 MB
Start of repetition 2: RAM Usage: 7 MB
End of repetition 2: RAM Usage: 7 MB
Start of repetition 3: RAM Usage: 7 MB
End of repetition 3: RAM Usage: 88 MB
Start of repetition 1: RAM Usage: 20 MB
End of repetition 1: RAM Usage: 7 MB
Start of repetition 5: RAM Usage: 7 MB
End of repetition 5: RAM Usage: 67 MB
Start of repetition 6: RAM Usage: 13 MB
End of repetition 6: RAM Usage: 7 MB
Start of repetition 8: RAM Usage: 20 MB
End of repetition 8: RAM Usage: 7 MB
Start of repetition 7: RAM Usage: 27 MB
End of repetition 7: RAM Usage: 7 MB
Start of repetition 9: RAM Usage: 7 MB
End of repetition 9: RAM Usage: 47 MB
Start of repetition 10: RAM Usage: 13 MB
End of repetition 10: RAM Usage: 7 MB
Start of repetition 11: RAM Usage: 20 MB
End of repetition 11: RAM Usage: 7 MB
Start of repetition 12: RAM Usage: 27 MB
End of repetition 12: RAM Usage: 7 MB
Start of repetition 13: RAM Usage: 7 MB
End of repetition 13: RAM Usage: 34 MB
Start of repetition 14: RAM Usage: 13 MB
End of repetition 14: RAM Usage: 7 MB
Start of repetition 15: RAM Usage: 20 MB
End of repetition 15: RAM Usage: 7 MB
Start of repetition 16: RAM Usage: 27 MB
End of repetition 16: RAM Usage: 7 MB
Start of repetition 17: RAM Usage: 7 MB
End of repetition 17: RAM Usage: 40 MB
Start of repetition 18: RAM Usage: 13 MB
End of repetition 18: RAM Usage: 27 MB
Start of repetition 19: RAM Usage: 47 MB
End of repetition 19: RAM Usage: 7 MB
Start of repetition 20: RAM Usage: 54 MB
End of repetition 20: RAM Usage: 7 MB
Start of repetition 21: RAM Usage: 7 MB
End of repetition 21: RAM Usage: 20 MB
Start of repetition 22: RAM Usage: 7 MB
End of repetition 22: RAM Usage: 20 MB
Start of repetition 24: RAM Usage: 47 MB
End of repetition 24: RAM Usage: 7 MB
Start of repetition 23: RAM Usage: 47 MB
End of repetition 23: RAM Usage: 7 MB
Start of repetition 25: RAM Usage: 7 MB
End of repetition 25: RAM Usage: 40 MB
Start of repetition 26: RAM Usage: 7 MB
End of repetition 26: RAM Usage: 40 MB
Start of repetition 27: RAM Usage: 61 MB
End of repetition 27: RAM Usage: 7 MB
Start of repetition 28: RAM Usage: 61 MB
End of repetition 28: RAM Usage: 7 MB
Start of repetition 29: RAM Usage: 6 MB
End of repetition 29: RAM Usage: 7 MB
Start of repetition 30: RAM Usage: 7 MB
End of repetition 30: RAM Usage: 34 MB
Start of repetition 1: RAM Usage: 220 MB
End of repetition 1: RAM Usage: 2345 MB
Start of repetition 2: RAM Usage: 432 MB
End of repetition 2: RAM Usage: 220 MB
Start of repetition 3: RAM Usage: 432 MB
End of repetition 3: RAM Usage: 220 MB
Start of repetition 4: RAM Usage: 432 MB
End of repetition 4: RAM Usage: 220 MB
Start of repetition 5: RAM Usage: 220 MB
End of repetition 5: RAM Usage: 220 MB
Start of repetition 6: RAM Usage: 432 MB
End of repetition 6: RAM Usage: 2559 MB
Start of repetition 7: RAM Usage: 644 MB
End of repetition 7: RAM Usage: 220 MB
Start of repetition 8: RAM Usage: 857 MB
End of repetition 8: RAM Usage: 220 MB
Start of repetition 9: RAM Usage: 220 MB
End of repetition 9: RAM Usage: 2132 MB
Start of repetition 10: RAM Usage: 432 MB
End of repetition 10: RAM Usage: 2132 MB
Start of repetition 11: RAM Usage: 644 MB
End of repetition 11: RAM Usage: 220 MB
Start of repetition 12: RAM Usage: 857 MB
End of repetition 12: RAM Usage: 220 MB
Start of repetition 14: RAM Usage: 220 MB
End of repetition 14: RAM Usage: 220 MB
Start of repetition 13: RAM Usage: 432 MB
End of repetition 13: RAM Usage: 2132 MB
Start of repetition 15: RAM Usage: 644 MB
End of repetition 15: RAM Usage: 220 MB
Start of repetition 16: RAM Usage: 857 MB
End of repetition 16: RAM Usage: 220 MB
Start of repetition 17: RAM Usage: 220 MB
End of repetition 17: RAM Usage: 1919 MB
Start of repetition 19: RAM Usage: 432 MB
End of repetition 19: RAM Usage: 220 MB
Start of repetition 18: RAM Usage: 644 MB
End of repetition 18: RAM Usage: 220 MB
Start of repetition 20: RAM Usage: 857 MB
End of repetition 20: RAM Usage: 220 MB
Start of repetition 21: RAM Usage: 220 MB
End of repetition 21: RAM Usage: 2771 MB
Start of repetition 22: RAM Usage: 432 MB
End of repetition 22: RAM Usage: 220 MB
Start of repetition 23: RAM Usage: 644 MB
End of repetition 23: RAM Usage: 220 MB
Start of repetition 24: RAM Usage: 857 MB
End of repetition 24: RAM Usage: 220 MB
Start of repetition 25: RAM Usage: 220 MB
End of repetition 25: RAM Usage: 2346 MB
Start of repetition 26: RAM Usage: 432 MB
End of repetition 26: RAM Usage: 220 MB
Start of repetition 27: RAM Usage: 644 MB
End of repetition 27: RAM Usage: 220 MB
Start of repetition 28: RAM Usage: 857 MB
End of repetition 28: RAM Usage: 220 MB
Start of repetition 29: RAM Usage: 220 MB
End of repetition 29: RAM Usage: 1070 MB
Start of repetition 30: RAM Usage: 432 MB
End of repetition 30: RAM Usage: 220 MB
Start of repetition 1: RAM Usage: 14980 MB
End of repetition 1: RAM Usage: 28560 MB
Start of repetition 4: RAM Usage: 14980 MB
End of repetition 4: RAM Usage: 116948 MB
Start of repetition 2: RAM Usage: 28557 MB
End of repetition 2: RAM Usage: 28560 MB
Start of repetition 3: RAM Usage: 35345 MB
End of repetition 3: RAM Usage: 48928 MB
Start of repetition 5: RAM Usage: 28563 MB
End of repetition 5: RAM Usage: 110161 MB
Start of repetition 6: RAM Usage: 35351 MB
End of repetition 6: RAM Usage: 28563 MB
Start of repetition 7: RAM Usage: 42139 MB
End of repetition 7: RAM Usage: 14980 MB
Start of repetition 8: RAM Usage: 35345 MB
End of repetition 8: RAM Usage: 21768 MB
Start of repetition 9: RAM Usage: 14980 MB
End of repetition 9: RAM Usage: 103375 MB
Start of repetition 10: RAM Usage: 21768 MB
End of repetition 10: RAM Usage: 14980 MB
Start of repetition 11: RAM Usage: 28557 MB
End of repetition 11: RAM Usage: 14980 MB
Start of repetition 12: RAM Usage: 35345 MB
End of repetition 12: RAM Usage: 14980 MB
Start of repetition 13: RAM Usage: 14980 MB
End of repetition 13: RAM Usage: 69319 MB
Start of repetition 14: RAM Usage: 21768 MB
End of repetition 14: RAM Usage: 14980 MB
Start of repetition 15: RAM Usage: 28557 MB
End of repetition 15: RAM Usage: 14980 MB
Start of repetition 16: RAM Usage: 35345 MB
End of repetition 16: RAM Usage: 14980 MB
Start of repetition 17: RAM Usage: 14980 MB
End of repetition 17: RAM Usage: 55731 MB
Start of repetition 18: RAM Usage: 21768 MB
End of repetition 18: RAM Usage: 28563 MB
Start of repetition 19: RAM Usage: 28557 MB
End of repetition 19: RAM Usage: 14980 MB
Start of repetition 20: RAM Usage: 35345 MB
End of repetition 20: RAM Usage: 21768 MB
Start of repetition 21: RAM Usage: 14980 MB
End of repetition 21: RAM Usage: 103366 MB
Start of repetition 22: RAM Usage: 21768 MB
End of repetition 22: RAM Usage: 21768 MB
Start of repetition 23: RAM Usage: 28557 MB
End of repetition 23: RAM Usage: 62516 MB
Start of repetition 24: RAM Usage: 35345 MB
End of repetition 24: RAM Usage: 21768 MB
Start of repetition 25: RAM Usage: 55728 MB
End of repetition 25: RAM Usage: 82970 MB
Start of repetition 26: RAM Usage: 21768 MB
End of repetition 26: RAM Usage: 62522 MB
Start of repetition 27: RAM Usage: 28557 MB
End of repetition 27: RAM Usage: 21768 MB
Start of repetition 28: RAM Usage: 35345 MB
End of repetition 28: RAM Usage: 21768 MB
Start of repetition 29: RAM Usage: 55732 MB
End of repetition 29: RAM Usage: 62568 MB
Start of repetition 30: RAM Usage: 21768 MB
End of repetition 30: RAM Usage: 28563 MB
