Iteration
4
2
3
1
3
4
1
2
5
6
8
7
5
6
8
7
9
10
11
12
9
10
11
12
13
14
15
16
13
14
15
16
17
18
19
20
17
18
20
19
22
21
23
24
21
22
23
24
26
25
27
28
25
26
27
28
29
30
30
29
1
3
2
4
1
2
4
3
5
6
7
8
6
5
7
8
9
10
11
12
10
9
11
12
14
13
15
16
13
15
14
16
17
19
18
20
17
18
20
19
21
22
23
24
21
22
23
24
25
26
27
28
25
26
27
28
29
30
29
30
1
4
2
3
4
2
1
5
6
7
3
8
5
6
7
9
8
10
11
12
9
10
11
12
13
14
15
16
13
16
14
15
17
18
19
20
17
18
19
21
20
22
23
24
21
25
23
22
24
26
27
28
25
29
26
27
28
30
29
30
