Iteration
3
4
1
2
2
1
3
4
5
8
6
7
7
6
5
8
9
12
10
11
9
12
10
11
14
13
15
16
13
14
16
15
17
19
18
20
18
17
19
20
21
24
22
23
21
22
23
24
25
26
27
28
25
26
28
27
29
30
29
30
2
3
4
1
4
3
1
2
5
6
7
8
5
6
7
8
9
10
11
12
9
10
11
12
13
14
15
16
13
14
15
16
17
18
19
20
17
18
19
20
21
22
23
24
21
22
23
24
25
26
28
27
25
26
27
28
29
30
29
30
