Iteration
3
1
2
4
1
4
2
3
5
8
6
7
5
8
6
7
9
10
12
11
9
10
12
11
13
14
16
15
13
14
15
16
17
18
19
20
17
18
20
19
21
22
23
24
21
22
24
23
25
26
28
27
25
26
28
27
29
30
29
30
2
3
4
1
1
4
3
2
5
6
7
8
5
6
7
9
8
10
11
12
9
10
13
11
12
14
15
16
14
13
15
17
18
16
19
20
17
18
21
19
22
20
23
24
21
25
22
23
24
26
27
28
25
29
27
28
26
30
29
30
